Sample in Buffer,Sample in Window,TRIGGER,CU_Integration_sim_i/system_ila_0/inst/probe0_1[1:0],CU_Integration_sim_i/system_ila_0/inst/probe1_1[7:0],CU_Integration_sim_i/system_ila_0/inst/probe2_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe3_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe4_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe5_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe6_1[63:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tlast,CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tlast,CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tlast,CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tlast,Interface_(i1:s0)_(cplane_depacketizer_0_beam_data)[2:0],Interface_(i1:s1)_(cplane_depacketizer_0_beam_info_V)[2:0],Interface_(i1:s2)_(cplane_depacketizer_0_beam_data_uplink)[2:0],Interface_(i1:s3)_(cplane_depacketizer_0_beam_info_uplink_V)[2:0],T_Channel_(i1:s0)_(cplane_depacketizer_0_beam_data)[2:0],T_Channel_(i1:s1)_(cplane_depacketizer_0_beam_info_V)[2:0],T_Channel_(i1:s2)_(cplane_depacketizer_0_beam_data_uplink)[2:0],T_Channel_(i1:s3)_(cplane_depacketizer_0_beam_info_uplink_V)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
33,33,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
34,34,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
35,35,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
36,36,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
37,37,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
38,38,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
39,39,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
40,40,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
41,41,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
42,42,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
43,43,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
44,44,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
45,45,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
46,46,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
47,47,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
48,48,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
49,49,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
50,50,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
51,51,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
52,52,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
53,53,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
54,54,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
55,55,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
56,56,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
57,57,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
58,58,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
59,59,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
60,60,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
61,61,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
62,62,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
63,63,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
